SMILES,Agonist_Activity
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl,Active
C1=CC(=CC=C1C2=C(N3C=COC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl,Active
C1=CC=C2C(=C1)C=CC=C2C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=C(C=C(C=C5)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=C(C=C5)C(F)(F)F,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=CC=C5Cl,Active
CC(C)(C)C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
CC1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)C(F)(F)F,Active
C1CCC(CC1)C2=CC=C(C=C2)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Unspecified
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC=C(C=C5)Cl,Active
CC1(CCC(C2=C1C=CC(=C2)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl)(C)C)C,Inactive
C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
COC1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Active
C1=CC(=CC(=C1)Cl)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
CC(C)C1=CC=C(C=C1)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
C1=CC=C2C=C(C=CC2=C1)C3=C(N4C=COC4=N3)/C=N/OCC5=C(C(=C(C(=C5F)F)F)F)F,Active
CC(C)(C)C1=CC=C(C=C1)CO/N=C/C2=C(N=C3N2C=CO3)C4=CC5=CC=CC=C5C=C4,Active
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=C(N4C=CSC4=N3)/C=N/OCC5=CC(=C(C=C5)Cl)Cl,Inactive
C1=CC=C(C=C1)CO/N=C/C2=C(N=C3N2C=CO3)C4=CC5=CC=CC=C5C=C4,Active
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Br,Active
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)F,Active
C1C(CC2=CC=CC=C21)O/N=C/C3=C(N=C4N3C=CO4)C5=CC6=CC=CC=C6C=C5,Active
C1=CC(=CC=C1C#N)C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl,Active
COC1=CC=C(C=C1)CO/N=C/C2=C(N=C3N2C=CO3)C4=CC5=CC=CC=C5C=C4,Active
CCC1=C(N2C=CSC2=N1)/C=N/OCC3=CC(=C(C=C3)Cl)Cl,Active
C1=CC=C(C=C1)OC2=CC=C(C=C2)CO/N=C/C3=C(N=C4N3C=CO4)C5=CC6=CC=CC=C6C=C5,Inactive
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)/C=N/OCC4=CC(=C(C=C4)Cl)Cl)Cl,Active
COCC1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Active
CN(C)C(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)CO)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CCC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CC=CN3CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active
CNC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CC(=NO3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC=C(C=C4)N)C5=CC=C(C=C5)Cl,Unspecified
CCC1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)C4=CN(N=N4)CC5=CC(=C(C=C5)Cl)Cl,Unspecified
C1=CC(=CC=C1CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl)Cl,Active
COC1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)C4=CN(N=N4)CC5=CC(=C(C=C5)Cl)Cl,Active
CCC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active
CN(C(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl)OC,Active
CC(C1=CC=CC=C1)N2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC(=C(C=C5)Cl)Cl,Active
C1=CC=NC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)C4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Unspecified
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC=C(C=C4)C#N)C5=CC=C(C=C5)Cl,Active
C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)CN3C=C(N=N3)C4=C(N=C5N4C=CC=C5)C6=CC=C(C=C6)Cl,Inactive
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=CN(N=N4)CC5=CC(=C(C=C5)Cl)Cl)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)C(=O)O)C5=CC=C(C=C5)Cl,Inactive
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)C(=O)N)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC=C(C=C4)[N+](=O)[O-])C5=CC=C(C=C5)Cl,Unspecified
C1=CC(=C(C=C1CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC(=C(C=C5)Cl)Cl)Cl)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)C#N,Inconclusive
C1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl,Active
COC1=C(C=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl)OC,Active
C1=CC2=NC(=C(N2C=C1)C3=NN=C(O3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN=C(C=C3)NC4=CC(=C(C=C4)Cl)C(=O)N)C5=CC=C(C=C5)Cl,Inactive
C1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active
C1=CC(=CC=C1CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl)C#N,Unspecified
C1=CC=NC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)C=O)C5=CC=C(C=C5)Cl,Active
CC1=CC=C(C=C1)C2=C(N3C=CC=CC3=N2)C4=CN(N=N4)CC5=CC(=C(C=C5)Cl)Cl,Unspecified
C1=CC2=NC(=C(N2C=C1)C3=CN=C(C=C3)OC4=CC(=C(C=C4)Cl)C(=O)N)C5=CC=C(C=C5)Cl,Inactive
COC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Unspecified
C1=CC2=NC(=C(N2C=C1)C3=NC(=NO3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)[N+](=O)[O-])C5=CC=C(C=C5)Cl,Active
CSC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=C(C=C(C=C5)Cl)Cl,Active
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=CSC(=N4)CC5=CC(=C(C=C5)Cl)Cl)Cl,Active
COC1=C(C=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)OC,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)N)C5=CC=C(C=C5)Cl,Active
CC(=O)NC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Inactive
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)F,Active
CC(=O)C1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Active
COC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)Cl,Active
COC1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)C(F)(F)F,Active
CC(=O)NC1=C(C=CC(=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl)Cl,Active
C1=CC(=CC=C1C2=C(N3C=CSC3=N2)C4=NC(=NO4)CC5=CC(=C(C=C5)Cl)Cl)Cl,Active
CS(=O)(=O)C1=CC=C(C=C1)CN2C=C(N=N2)C3=C(N=C4N3C=CC=C4)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=NN=C(S3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=N3)CC4=CC(=C(C=C4)Cl)/C=N/O)C5=CC=C(C=C5)Cl,Active
C1=CC2=NC(=C(N2C=C1)C3=CN(N=C3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Unspecified
C1=CC2=NC(=C(N2C=C1)C3=CSC(=N3)CC4=CC(=C(C=C4)Cl)Cl)C5=CC=C(C=C5)Cl,Active
